table,table_description,column,dtype,non_null,example_values
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,area_id,string,3018,"[""00100"", ""00120"", ""00130""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,postal_code,string,3018,"[""00100"", ""00120"", ""00130""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,area_name,string,3018,"[""Helsinki keskusta - Etu-Töölö"", ""Punavuori - Bulevardi"", ""Kaartinkaupunki""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,area_name_sv,string,3018,"[""Helsingfors centrum - Främre Tölö"", ""Rödbergen - Bulevarden"", ""Gardesstaden""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,municipality_code,string,3018,"[""091"", ""091"", ""091""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,paavo_year_geometry,int64,3018,"[""2026"", ""2026"", ""2026""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,area_m2,int64,3018,"[""2353278"", ""414010"", ""428960""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,area_km2,float64,3018,"[""2.353278"", ""0.41401"", ""0.42896""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,lat,float64,3018,"[""60.1704070554749"", ""60.16372986316543"", ""60.16447470623334""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,lon,float64,3018,"[""24.923510858314422"", ""24.938584537844307"", ""24.950055578909822""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,centroid_method,string,3018,"[""epsg3067_xy"", ""epsg3067_xy"", ""epsg3067_xy""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,geometry_json,string,3018,"[""{\""type\"": \""Polygon\"", \""coordinates\"": [[[385653.8928, 6671591.0475], [385573.6195, 6671699.8005], [385612.6593, 6671729.657"", ""{\""type\"": \""Polygon\"", \""coordinates\"": [[[385316.092, 6671076.9841], [385279.6115, 6671123.567], [385255.4782, 6671158.3638]"", ""{\""type\"": \""Polygon\"", \""coordinates\"": [[[386212.1112, 6671061.2623], [386176.8264, 6671111.8884], [386039.1539, 6671107.178""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,population,Float64,3018,"[""18492.0"", ""7297.0"", ""1731.0""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,population_source_metric,string,3018,"[""asukkaat_yhteensa_he"", ""asukkaat_yhteensa_he"", ""asukkaat_yhteensa_he""]"
area_features,Kaikki yhdistetyt aluekohtaiset muuttujat.,men,Float64,2954,"[""8758.0"", ""3396.0"", ""837.0""]"
