national_absolute_potential_rank,area_id,postal_code,area_name,municipality_code,lat,lon,national_absolute_potential_score,estimated_switchers,population_final,estimated_commuters_base,jspi_score,recommended_campaign_type,recommendation_reason,data_confidence_level,commuting_data_source
1,00100,00100,Helsinki keskusta - Etu-Töölö,091,60.1704070554749,24.923510858314422,100.0,2268.1889669642082,18492.0,3537.45,92.7,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
2,01600,01600,Myyrmäki,092,60.26653936057732,24.845181975275413,100.0,1687.5459830537357,19159.0,2693.6,90.6,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
3,01620,01620,Martinlaakso,092,60.27949860165246,24.84786683203153,100.0,1382.394669506637,14204.0,2195.2,90.5,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
4,00700,00700,Malmi,091,60.25529901866859,25.011564559977366,100.0,1373.7338467229151,14539.0,2117.5,93.6,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
5,70820,70820,Litmanen,297,62.83569192698281,27.65522212312466,100.0,1134.0725691878977,14921.0,2424.45,78.6,bussikäytävä- ja pysäkkikampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
6,15140,15140,Kartano-Paavola,398,60.990015792667855,25.66236187993112,100.0,1097.7934962480808,15412.0,2023.6999999999998,75.7,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
7,60200,60200,Törnävä,743,62.748899584677616,22.87954816724721,100.0,1025.000389152752,12856.0,2319.1,67.3,asema- ja junakampanja,suuri henkilömääräinen potentiaali; korkea autoilupaine; joukkoliikenteen matka-aika on kilpailukykyinen; pendelöintiosuus perustuu fallback-oletukseen,keskitaso,fallback_default_share
8,01300,01300,Tikkurila,092,60.29321153202259,25.026944303655743,99.9,2651.5174602953607,24875.0,4257.75,90.5,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
9,00530,00530,Kallio,091,60.1810810775564,24.95706766389673,99.9,2246.4252225122395,17951.0,3614.45,90.6,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
10,00320,00320,Etelä-Haaga,091,60.21724759732334,24.896718280381087,99.9,1350.8603844890442,10897.0,2095.45,92.9,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
11,02650,02650,Pohjois-Leppävaara,049,60.22842334971089,24.82742573773976,99.9,1295.4312322031406,12084.0,2128.7,89.1,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
12,00420,00420,Kannelmäki,091,60.24807303973342,24.87780964169955,99.9,1276.2667730784615,13973.0,2011.8,92.5,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
13,00710,00710,Pihlajamäki - Viikinmäki,091,60.23218742672527,24.99967741705093,99.9,1236.8365440533894,13250.0,1959.6499999999999,92.5,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
14,00730,00730,Tapanila,091,60.26568746852462,25.01591389966696,99.9,1229.7006819080418,11738.0,1909.6,93.9,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
15,01450,01450,Korso,092,60.35264512796468,25.080560996043328,99.8,1792.0215954591547,18126.0,2938.6,89.5,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
16,00180,00180,Kamppi - Ruoholahti,091,60.16194759268494,24.910835884790366,99.8,1639.139514466292,14784.0,2690.45,91.9,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
17,00500,00500,Sörnäinen - Harju,091,60.187372075573094,24.961662672740037,99.8,1544.2329195250154,11698.0,2553.6,90.5,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
18,02760,02760,Tuomarila-Suvela,049,60.20036872093817,24.676377307963484,99.8,1483.9834386476466,15512.0,2396.7999999999997,90.3,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
19,00240,00240,Länsi-Pasila,091,60.20453420453918,24.924860881297576,99.8,1259.4642402374436,10171.0,1942.1499999999999,93.4,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
