underused_transit_potential_rank,area_id,postal_code,area_name,municipality_code,lat,lon,underused_transit_potential_score,car_pressure_score,public_transport_service_score,accessibility_score,travel_time_competitiveness_score_final,estimated_switchers,jspi_score,recommended_campaign_type,recommendation_reason,data_confidence_level,commuting_data_source
1,00730,00730,Tapanila,091,60.26568746852462,25.01591389966696,98.5,0.9641046813695016,0.9949662429002708,0.9956021071096095,0.9952205885840062,1229.7006819080418,93.9,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
2,00520,00520,Itä- ja Keski-Pasila,091,60.19683598847282,24.941082856166066,98.5,0.9580756683604184,1.0,1.0,1.0,1107.1421117767138,93.5,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
3,00410,00410,Malminkartano,091,60.25102989012809,24.85574128170586,98.3,0.9591879455854816,0.994025625210005,0.9961144101918364,0.9948611392027376,973.293683993872,93.3,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
4,00240,00240,Länsi-Pasila,091,60.20453420453918,24.924860881297576,98.2,0.9494080590701354,1.0,0.9997372177118952,0.999894887084758,1259.4642402374436,93.4,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
5,00700,00700,Malmi,091,60.25529901866859,25.011564559977366,98.1,0.958401781178028,0.9996620652187491,0.9988514920948908,0.9993378359692058,1373.7338467229151,93.6,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
6,00170,00170,Kruununhaka,091,60.172758449278625,24.95637195027334,97.9,0.9429601511589988,0.9996541857636168,1.0,0.99979251145817,914.7825481358924,92.4,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
7,00550,00550,Vallila - Hermanni,091,60.1972436633222,24.96020600918856,97.8,0.9536576368905744,0.9926178266649437,0.9835951703665413,0.9890087641455827,1081.3479917234795,93.2,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
8,00120,00120,Punavuori - Bulevardi,091,60.16372986316543,24.938584537844307,97.8,0.9436851893367508,0.9985437258219703,0.9952900409946813,0.9972422518910546,894.0576725201715,92.2,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
9,00320,00320,Etelä-Haaga,091,60.21724759732334,24.896718280381087,97.7,0.9350585281454582,1.0,0.9984758451272777,0.999390338050911,1350.8603844890442,92.9,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
10,00640,00640,Oulunkylä - Patola,091,60.233185369105485,24.957195557260942,97.7,0.938266748283642,0.9999736725782498,0.9964986646604574,0.9985836694111327,935.7192076656498,92.4,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
11,00370,00370,Reimarla,091,60.222882537363496,24.854442624083674,97.7,0.9502716883603262,0.997222098074628,0.9981399018503898,0.9975892195849327,695.5483406477795,90.7,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
12,00610,00610,Käpylä,091,60.211768210291396,24.956314972998026,97.6,0.9442801026652636,0.996659253376537,0.9860076901912073,0.9923986281024052,881.0462682351341,92.1,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
13,00100,00100,Helsinki keskusta - Etu-Töölö,091,60.1704070554749,24.923510858314422,97.5,0.9328867221994596,0.9977494446342963,0.9958496135153204,0.996989512186706,2268.1889669642082,92.7,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
14,00400,00400,Pohjois-Haaga,091,60.22853458644959,24.897651204035263,97.4,0.928310183803391,1.0,0.9992605061528776,0.9997042024611511,994.3443697737407,92.2,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
15,00650,00650,Veräjämäki,091,60.22725233584967,24.975973695176584,97.3,0.9466926105443114,0.9981940674232412,0.9973048618907661,0.9978383852102513,583.0623075377376,89.2,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
16,00380,00380,Pitäjänmäen yritysalue,091,60.21767181187874,24.86613978040133,97.3,0.952339992517116,0.9949447693236961,0.9995973025440696,0.9968057826118455,528.3930538541983,88.8,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
17,00780,00780,Tapaninvainio,091,60.25834659605236,24.99362547056588,97.2,0.9586632364934204,0.9937295938456012,0.9785941311213202,0.9876754087558889,666.771092468947,90.6,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
18,00720,00720,Pukinmäki,091,60.246248869315785,24.989127816912102,97.1,0.9322090360065788,0.995514792358797,0.9959527356488981,0.9956899696748375,872.2161026731046,91.6,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
19,00270,00270,Pohjois-Meilahti,091,60.193909853396704,24.903060336242913,97.0,0.9523014533238447,0.9892720399520547,0.9584101493337199,0.9769272837047208,819.2418046501328,91.7,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
20,01350,01350,Hiekkaharju,092,60.30520209581928,25.036462617373292,96.7,0.8874434117694163,0.9933115223025528,0.9933463458016607,0.9933254517021959,1090.5209187522269,90.8,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
21,00710,00710,Pihlajamäki - Viikinmäki,091,60.23218742672527,24.99967741705093,96.6,0.9326020129606808,0.9935633483208253,0.987533992759991,0.9911516060964916,1236.8365440533894,92.5,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
22,00260,00260,Keski-Töölö,091,60.179270750556704,24.917336691197384,96.5,0.9443428416301264,0.9909193090517081,0.966303237902167,0.9810728805918916,615.3437244791899,89.4,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
23,01620,01620,Martinlaakso,092,60.27949860165246,24.84786683203153,96.4,0.8759630791216632,0.9955907004080002,0.9953982488127043,0.9955137197698819,1382.394669506637,90.5,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
24,00420,00420,Kannelmäki,091,60.24807303973342,24.87780964169955,96.4,0.932054183517717,0.9964366602655279,0.9909616099234211,0.9942466401286851,1276.2667730784615,92.5,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
25,00750,00750,Tapulikaupunki,091,60.2797395976605,25.03589210822129,96.4,0.9150177414309476,0.9894896822310963,0.9983168628759778,0.9930205544890489,905.4566856397265,91.0,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
26,00390,00390,Konala,091,60.23926392279183,24.839793867454656,96.4,0.9505350843975156,0.9899438831430207,0.9566628726496664,0.976631478945679,634.0084347928554,89.8,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
27,00280,00280,Ruskeasuo,091,60.201750460178076,24.906743619289212,96.3,0.946747542570429,0.9970151446000262,0.9868293264354657,0.992940817334202,341.32383320501935,85.4,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
28,01300,01300,Tikkurila,092,60.29321153202259,25.026944303655743,96.2,0.877240791719361,0.9910911498670811,0.9900387629009328,0.9906701950806218,2651.5174602953607,90.5,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
29,00180,00180,Kamppi - Ruoholahti,091,60.16194759268494,24.910835884790366,96.2,0.9199303329415388,0.9850539639627671,0.9692400175348023,0.9787283853915811,1639.139514466292,91.9,asema- ja junakampanja,suuri henkilömääräinen potentiaali; joukkoliikenteen alikäyttöpotentiaali on korkea; korkea autoilupaine; hyvä joukkoliikenteen palvelutaso; joukkoliikenteen matka-aika on kilpailukykyinen,keskitaso,fallback_default_share
